candidate_id,rank,score,reasoning
CAND_0053591,1,0.542635,"Senior AI Engineer with 5.3 years of proven experience, particularly in Sentence Transformers, OpenSearch. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0039754,2,0.533768,"Senior Applied Scientist with 16.2 years of proven experience, particularly in Python, OpenSearch. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0081846,3,0.526161,"Senior Lead AI Engineer with 6.7 years of proven experience, particularly in Embeddings, Information Retrieval. Demonstrates strong recruiter engagement (73% response rate), making them a strong match for the role."
CAND_0006567,4,0.523861,"Senior AI Engineer with 7.9 years of proven experience, particularly in Prompt Engineering, Content Matching. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0098454,5,0.523575,"Senior AI Specialist with 6.6 years of proven experience, particularly in Feature Engineering, GANs. Demonstrates strong recruiter engagement (87% response rate), making them a strong match for the role."
CAND_0025640,6,0.51543,"Senior AI Research Engineer with 5.6 years of proven experience, particularly in FAISS, Elasticsearch. Demonstrates strong recruiter engagement (87% response rate), making them a strong match for the role."
CAND_0002025,7,0.514349,"Senior AI Engineer with 5.9 years of proven experience, particularly in FAISS, TensorFlow. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
CAND_0041079,8,0.513274,"Java Developer with 1.5 years of experience and a high recruiter response rate (81%). Skills in PEFT, Snowflake align well with the job requirements."
CAND_0045081,9,0.513067,"Senior Software Engineer with 6.7 years of proven experience, particularly in Forecasting, SAP. Demonstrates strong recruiter engagement (85% response rate), making them a strong match for the role."
CAND_0069905,10,0.512789,"Senior Applied ML Engineer with 6.6 years of proven experience, particularly in Weaviate, Recommendation Systems. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0067170,11,0.511693,"Senior Software Engineer with 5.3 years of proven experience, particularly in YOLO, Go. Demonstrates strong recruiter engagement (78% response rate), making them a strong match for the role."
CAND_0023217,12,0.511291,"Senior Software Engineer with 10.0 years of proven experience, particularly in TTS, Terraform. Demonstrates strong recruiter engagement (79% response rate), making them a strong match for the role."
CAND_0041874,13,0.510091,"Senior Frontend Engineer with 9.7 years of proven experience, particularly in Deep Learning, ASR. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0064326,14,0.510064,"Senior Search Engineer with 7.6 years of proven experience, particularly in QLoRA, Deep Learning. Demonstrates strong recruiter engagement (94% response rate), making them a strong match for the role."
CAND_0076974,15,0.509983,"Senior Frontend Engineer with 9.3 years of proven experience, particularly in CNN, Databricks. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0007596,16,0.509935,"Junior ML Engineer with 4.4 years of experience and a high recruiter response rate (86%). Skills in YOLO, OpenCV align well with the job requirements."
CAND_0088025,17,0.50899,"Senior Staff Machine Learning Engineer with 8.6 years of proven experience, particularly in Learning to Rank, TensorFlow. Demonstrates strong recruiter engagement (83% response rate), making them a strong match for the role."
CAND_0077337,18,0.505785,"Senior Staff Machine Learning Engineer with 7.0 years of proven experience, particularly in Recommendation Systems, Python. Demonstrates strong recruiter engagement (95% response rate), making them a strong match for the role."
CAND_0090300,19,0.505751,"Senior AI Research Engineer with 5.3 years of proven experience, particularly in BentoML, CI/CD. Demonstrates strong recruiter engagement (94% response rate), making them a strong match for the role."
CAND_0085140,20,0.505461,"Senior Full Stack Developer with 9.5 years of proven experience, particularly in Kubeflow, Reinforcement Learning. Demonstrates strong recruiter engagement (77% response rate), making them a strong match for the role."
CAND_0064995,21,0.504683,"Senior Software Engineer with 9.3 years of proven experience, particularly in Angular, Speech Recognition. Demonstrates strong recruiter engagement (82% response rate), making them a strong match for the role."
CAND_0003492,22,0.504313,"Software Engineer with 3.2 years of experience and a high recruiter response rate (83%). Skills in YOLO, Next.js align well with the job requirements."
CAND_0002246,23,0.50424,"Senior Full Stack Developer with 8.2 years of proven experience, particularly in Haystack, Sales. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0016699,24,0.50418,"Senior Frontend Engineer with 9.0 years of proven experience, particularly in Python, React. Demonstrates strong recruiter engagement (84% response rate), making them a strong match for the role."
CAND_0090153,25,0.504102,"Software Engineer with 2.1 years of experience and a high recruiter response rate (83%). Skills in Kafka, BigQuery align well with the job requirements."
CAND_0037715,26,0.50359,"Senior Mobile Developer with 7.6 years of proven experience, particularly in Forecasting, Vue.js. Demonstrates strong recruiter engagement (76% response rate), making them a strong match for the role."
CAND_0067357,27,0.503495,"Senior Java Developer with 8.8 years of proven experience, particularly in Vector Search, ASR. Demonstrates strong recruiter engagement (70% response rate), making them a strong match for the role."
CAND_0069355,28,0.503411,"Software Engineer with 4.3 years of experience and a high recruiter response rate (81%). Skills in Computer Vision, LoRA align well with the job requirements."
CAND_0099965,29,0.503343,"Junior ML Engineer with 4.6 years of experience and a high recruiter response rate (88%). Skills in CNN, OpenSearch align well with the job requirements."
CAND_0084191,30,0.503316,"Full Stack Developer with 2.8 years of experience and a high recruiter response rate (76%). Skills in BigQuery, Illustrator align well with the job requirements."
CAND_0081127,31,0.503052,"Senior Java Developer with 8.3 years of proven experience, particularly in pgvector, SEO. Demonstrates strong recruiter engagement (73% response rate), making them a strong match for the role."
CAND_0072547,32,0.503013,"Senior Software Engineer (ML) with 5.1 years of proven experience, particularly in Information Retrieval, Machine Learning. Demonstrates strong recruiter engagement (81% response rate), making them a strong match for the role."
CAND_0039838,33,0.502825,"Recommendation Systems Engineer with 4.9 years of experience and a high recruiter response rate (80%). Skills in LoRA, Vector Search align well with the job requirements."
CAND_0089444,34,0.501537,"AI Specialist with 4.5 years of experience and a high recruiter response rate (88%). Skills in OpenSearch, Weights & Biases align well with the job requirements."
CAND_0079064,35,0.500895,"Senior Data Scientist with 5.2 years of proven experience, particularly in Fine-tuning LLMs, Pinecone. Demonstrates strong recruiter engagement (91% response rate), making them a strong match for the role."
CAND_0082961,36,0.500748,"Senior Frontend Engineer with 8.6 years of proven experience, particularly in Forecasting, SQL. Demonstrates strong recruiter engagement (80% response rate), making them a strong match for the role."
